Pincode,Lat,Lon
532168,18.3896,83.7135
532168,18.3496,83.7565
532168,18.3296,83.7025
532168,18.444,83.8083
532168,18.3922,83.7883
532168,18.4296,83.7793
532168,18.3491,83.7792
532168,18.4212,83.8278
532168,18.3692,83.7542
532185,18.4049,83.908
532186,18.4386,83.8455
532186,18.4109,83.9425
532186,18.4098,83.8716
532186,18.4049,83.908
532186,18.4049,83.908
532186,18.4049,83.908
532186,18.3878,83.8806
532186,18.4049,83.908
532186,18.4049,83.908
532186,18.3768,83.9446
532186,18.4049,83.908
532186,18.4476,83.8726
532186,18.3917,83.9581
532186,18.3898,83.9013
532186,18.3556,83.945
532186,18.4408,83.9183
532190,18.5093,83.9122
532190,18.4744,83.9018
532190,18.5147,83.8175
532190,18.5147,83.8175
532190,18.5605,83.6385
532190,18.5147,83.8175
532195,18.5301,83.9921
532195,18.5355,84.2074
532195,18.5286,84.1207
532195,18.5286,84.1207
532195,18.5286,84.1207
532195,18.5286,84.1207
532195,18.5286,84.1207
532195,18.5286,84.1207
532195,18.5286,84.1207
532195,18.5286,84.1207
532195,18.5202,84.1625
532195,18.5286,84.1207
532195,18.5786,83.9881
532201,18.3568,83.7414
532203,18.5786,83.9881
532203,18.3568,83.7414
532203,18.3568,83.7414
532203,18.6095,83.7733
532203,18.5786,83.9881
532203,18.344,83.9105
532203,18.6307,84.129
532203,18.3641,83.9113
532203,18.809,83.8397
532203,18.6542,84.3047
532203,18.3568,83.7414
532203,18.3568,83.7414
532203,18.3568,83.7414
532203,18.3568,83.7414
532203,18.3568,83.7414
532203,18.3568,83.7414
532203,18.3568,83.7414
532203,18.3568,83.7414
532203,18.3568,83.7414
532211,18.5619,84.2989
532211,18.5809,83.7944
532211,18.5714,84.0466
532211,18.5714,84.0466
532211,18.5714,84.0466
532211,18.5714,84.0466
532212,18.5657,83.759
532212,18.5657,83.759
532212,18.5657,83.759
532212,18.5657,83.759
532212,18.5657,83.759
532212,18.4836,83.9182
532212,18.6478,83.5998
532213,18.535,83.7841
532213,18.535,83.7841
